Año,Estado,GINI,decil_1,decil_2,decil_3,decil_4,decil_5,decil_6,decil_7,decil_8,decil_9,decil_10,p1_Respuesta_1,p1_Respuesta_2,p1_Respuesta_3,p1_Respuesta_4,p1_Respuesta_5,p1_Respuesta_6,p10_Respuesta_1,p10_Respuesta_2,p10_Respuesta_3,p10_Respuesta_4,p11_Respuesta_1,p11_Respuesta_2,p11_Respuesta_3,p11_Respuesta_4,p11_Respuesta_5,p11_Respuesta_6,p12_Respuesta_1,p12_Respuesta_2,p12_Respuesta_3,p12_Respuesta_4,p12_Respuesta_5,p12_Respuesta_6,p12_Respuesta_7,p13_Respuesta_1,p13_Respuesta_2,p13_Respuesta_3,p13_Respuesta_4,p13_Respuesta_5,p13_Respuesta_6,p14_Respuesta_1,p14_Respuesta_2,p14_Respuesta_3,p14_Respuesta_4,p15_Respuesta_1,p15_Respuesta_2,p15_Respuesta_3,p15_Respuesta_4,p2_Respuesta_1,p2_Respuesta_2,p2_Respuesta_3,p2_Respuesta_4,p2_Respuesta_5,p2_Respuesta_6,p3_Respuesta_1,p3_Respuesta_2,p3_Respuesta_3,p3_Respuesta_4,p3_Respuesta_5,p3_Respuesta_6,p4_Respuesta_1,p4_Respuesta_2,p4_Respuesta_3,p4_Respuesta_4,p4_Respuesta_5,p4_Respuesta_6,p5_Respuesta_1,p5_Respuesta_2,p5_Respuesta_3,p5_Respuesta_4,p5_Respuesta_5,p5_Respuesta_6,p6_Respuesta_1,p6_Respuesta_2,p6_Respuesta_3,p6_Respuesta_4,p6_Respuesta_5,p6_Respuesta_6,p7_Respuesta_1,p7_Respuesta_2,p7_Respuesta_3,p7_Respuesta_4,p8_Respuesta_1,p8_Respuesta_2,p8_Respuesta_3,p8_Respuesta_4,p9_Respuesta_1,p9_Respuesta_2,p9_Respuesta_3,Percepcion_Economica_Personal_Positiva,Percepcion_Economica_Personal_Negativa,Percepcion_Naciona_Positiva,Percepcion_Nacional_Negativa,Consumo_Ahorro_Positivo,Consumo_Ahorro_Negativo,Incertidumbre_Economica_Personal,Incertidumbre_Economica_Nacional,Ingreso promedio total,estado_codigo,cvegeo
2018,Aguascalientes,0.3919,12897.0042,21632.4067,28037.0916,33974.636,41194.1295,48830.99,57956.4107,70328.6338,92548.189,179513.1645,0.5806,12.2376,55.2479,31.3533,0.5806,,14.6941,84.8146,0.4913,,,26.619,35.7749,37.2934,0.3126,,,0.2233,1.1612,18.669,2.7244,77.222,,1.0272,30.3707,39.5266,25.3685,3.707,,3.1711,2.6351,94.1938,,6.7887,6.6548,86.5565,,0.2233,43.0103,37.0255,19.6516,0.0893,,0.3573,15.364,65.1184,19.071,0.0893,,,47.7892,33.6311,18.4011,0.1787,,,1.3399,13.3542,78.5172,6.7887,,0.2233,17.8651,28.6735,45.958,7.28,,9.4238,29.2095,61.188,0.1787,,7.95,92.05,,8.3966,91.6034,,28.235,11.1769,13.3765,23.6266,13.7561,65.9223,0.335,,58691.2656,1,01
2018,Baja california,0.3807,14237.3575,22686.5154,28504.3713,34694.7324,41388.6446,48907.959,58988.6752,73525.6182,98436.0135,170044.6549,2.5776,22.7885,50.7323,22.4956,1.406,,42.5893,55.7704,,1.6403,2.2261,26.0105,60.5155,8.1429,0.1172,2.9877,0.5272,5.331,19.1564,31.8102,10.7791,31.4001,0.9959,3.2806,36.0281,38.3714,11.365,5.2724,5.6825,14.9385,8.9631,75.9813,0.1172,25.8934,12.1265,61.6286,0.3515,3.5735,42.7065,35.618,11.8336,1.1131,5.1552,1.6989,26.9479,50.4979,18.3363,2.1675,0.3515,4.9209,44.4054,34.2121,12.1265,0.1172,4.2179,0.2929,3.1634,35.5009,51.3181,8.553,1.1716,1.4646,40.1289,25.952,20.1523,5.5067,6.7955,19.918,40.8905,39.1916,,10.5448,47.8032,41.1834,0.4687,38.8401,59.1095,2.0504,26.7233,8.6995,17.4331,18.0946,27.02,31.2764,1.9625,3.6614,59141.4542,2,02
2018,Baja california sur,0.3771,15551.8945,25963.0821,33202.2667,40945.1338,48851.7928,57538.3338,69149.1007,83922.9501,104070.348,198471.9614,0.784,9.9786,64.077,23.5923,1.5681,,33.1433,66.5004,0.3564,,0.3564,28.5816,67.6408,3.2787,,0.1426,0.4989,7.1989,10.1212,30.7199,26.087,25.0891,0.2851,0.784,23.7349,55.4526,16.6073,3.2074,0.2138,8.0542,18.3892,73.5567,,6.5574,24.8753,68.5674,,1.0691,30.0071,37.206,26.7997,4.2053,0.7128,0.0713,3.0649,77.4768,17.9615,1.4255,,0.7128,27.3699,40.7698,29.0805,1.9957,0.0713,0.2851,4.918,37.6336,48.6101,8.3393,0.2138,,22.3093,32.7869,27.1561,16.9636,0.784,14.3264,59.7292,25.9444,,3.35,44.191,52.459,,17.6764,82.1098,0.2138,24.3823,13.3286,17.793,22.2113,25.1439,50.6415,0.2994,0.3742,67766.6864,3,03
2018,Campeche,0.4297,8667.0477,14702.7594,19530.8692,24364.3724,29633.1732,35713.0354,44413.3459,57515.0231,77652.6756,152230.4399,0.1273,11.7123,59.0707,26.6709,2.4188,,26.0344,73.8383,,0.1273,0.3183,24.9523,59.6435,13.049,1.9096,0.1273,,5.0923,15.7861,47.613,7.8294,23.5519,0.1273,0.5729,21.7696,33.9274,37.9376,5.0923,0.7002,1.2731,4.0738,94.3985,0.2546,8.7206,17.4411,73.8383,,2.9917,31.4449,46.1489,16.6136,2.6098,0.191,0.4456,18.4596,65.7543,14.7677,0.5729,,3.119,22.8517,65.1814,7.0019,0.8275,1.0185,0.8912,5.2196,26.7346,61.6805,5.4742,,1.9096,33.5455,25.6525,31.1267,6.2381,1.5277,10.1209,26.0344,63.8447,,2.1006,7.9567,89.9427,,21.4513,78.0395,0.5092,27.2756,8.9354,15.5547,25.374,16.1631,51.8937,0.4201,0.7851,46442.2742,4,04
2018,Chiapas,0.4286,5223.1599,8677.9748,11340.2693,13831.7158,16628.7419,20086.3874,24763.3259,31625.7656,43955.7287,87557.7922,1.8879,14.4165,35.984,46.6819,1.0297,,34.3822,65.3318,,0.286,0.5149,31.865,42.6773,24.0847,0.6865,0.1716,0.4005,7.151,19.7941,15.7895,19.7368,36.8993,0.2288,4.0046,20.4233,38.8444,11.4989,25.1144,0.1144,8.4096,2.6316,88.9588,,14.4737,6.8078,78.7185,,4.2906,33.4668,33.1236,28.032,1.087,,2.2311,16.8192,41.5904,38.9016,0.4577,,3.2609,30.2059,39.4165,26.659,0.4577,,0.2288,3.4325,18.3066,70.8238,7.2082,,2.6888,32.4371,29.6911,31.7506,2.8604,0.5721,14.3593,44.9657,40.6751,,5.0915,46.5675,48.341,,32.9519,66.3616,0.6865,21.3911,17.9133,14.7836,23.0978,21.9768,41.8407,0.4291,0.3051,26369.0862,7,07
2018,Chihuahua,0.4137,10861.5191,18700.4283,24694.3219,30224.4318,36134.3084,42721.0493,51644.3432,62718.6363,85117.0524,177151.1221,3.7263,25.6775,47.8997,19.7154,2.981,,39.7696,60.2304,,,4.9458,40.0407,35.4336,13.4824,4.336,1.7615,0.3388,6.9783,11.7209,41.7344,10.9756,27.2358,1.0163,7.0461,30.6233,41.0569,11.9919,5.8266,3.4553,29.4715,,70.5285,,33.4011,,66.2602,0.3388,10.1626,40.9892,28.794,13.4146,5.0136,1.626,3.3875,29.607,48.5772,14.2954,3.9973,0.1355,10.5691,44.9187,27.8455,11.1789,3.8618,1.626,0.813,7.4526,40.3117,39.2954,11.7886,0.3388,5.4201,33.6043,26.6938,22.4932,8.5366,3.252,32.5881,20.664,46.748,,18.2249,36.9919,44.7832,,44.9864,53.4553,1.5583,26.8462,9.3072,17.6716,19.0803,30.5925,36.7378,1.1743,2.0156,53996.7213,8,08
2018,Coahuila de zaragoza,0.3911,12288.1876,20583.068,26797.5136,32439.5445,38562.9036,45338.224,54506.2037,66723.7404,89412.4968,168337.0127,3.5577,30.3846,49.2308,15.7692,1.0577,,55.3846,43.6538,,0.9615,6.5385,35.1923,41.0577,15.3365,1.6346,0.2404,1.2019,3.8462,26.2019,33.0769,14.0385,21.6346,,13.2692,26.5865,52.3077,5.4327,2.4038,,25.4808,18.3173,56.2019,,31.2981,15.4327,53.2692,,11.6827,37.4038,34.4712,14.1346,2.3077,,4.375,34.8077,47.1154,13.0288,0.6731,,13.4135,35.9615,36.4423,13.0288,1.0096,0.1442,,12.4038,49.5192,34.8558,3.2212,,3.4615,29.7115,37.2115,21.2981,8.0288,0.2885,26.25,45.0,28.75,,22.6923,45.5288,31.7788,,44.0385,55.9615,,28.2372,7.6262,23.2474,15.2945,31.7086,29.2849,0.1923,0.2885,55498.8895,5,05
2018,Colima,0.3882,11367.3387,19039.9196,24841.0211,30660.7621,37296.5398,44077.1575,53196.5516,65830.3935,87036.9584,153138.4635,1.2034,45.0662,21.6606,30.9266,1.1432,,38.929,60.8303,,0.2407,0.361,28.0385,42.5993,27.0156,1.9254,0.0602,,,2.6474,62.9964,19.7353,14.6209,,0.6619,22.9242,53.0084,21.8412,1.5644,,9.0253,24.3081,66.6667,,30.6258,23.225,46.1492,,1.5042,50.722,36.5223,10.9507,0.3008,,0.722,35.3189,36.4019,26.4741,1.083,,0.9025,53.7304,34.1757,10.6498,0.5415,,,3.4296,14.1396,58.6643,23.7665,,3.9711,30.8664,36.0409,24.6691,4.2118,0.2407,52.7677,24.9699,22.2623,,26.1733,36.2214,37.6053,,53.0084,46.9916,,26.4942,10.2587,18.6322,27.1811,30.0194,32.9422,0.0602,0.2407,52648.5106,6,06
2018,Distrito federal,0.4516,16310.9658,25355.3374,31645.2674,38535.6976,46037.4438,55848.9028,67729.9355,86761.1363,120430.0066,290385.9396,0.2362,2.2501,54.3635,40.8006,2.3496,,20.6116,74.3287,0.1367,4.9229,0.0746,8.1676,64.3461,25.8826,1.4918,0.0373,,0.5843,3.3814,18.3491,41.6087,35.9274,0.1492,0.1119,11.3998,34.7464,35.2188,18.3118,0.2113,0.721,2.9712,96.2705,0.0373,1.007,5.2213,93.7469,0.0249,0.4475,22.2526,51.6534,24.1298,1.2929,0.2238,0.1865,2.1009,55.5321,40.0423,2.1382,,0.7086,27.7598,45.823,24.3038,1.2059,0.1989,,0.3854,22.7499,68.635,8.2297,,0.9075,21.8175,36.9965,34.2491,5.4823,0.547,2.3496,52.8095,44.8409,,0.5719,26.094,73.3342,,18.7966,80.1467,1.0567,21.9429,17.0329,13.3081,28.7606,15.6725,44.5826,0.2451,0.3025,77904.0633,9,09
2018,Durango,0.3932,9565.6535,15857.8342,20329.5401,24615.9957,29928.6212,35833.0903,43875.6819,54245.5656,71652.0361,129213.6632,,16.9191,48.8773,31.9582,2.2454,,25.0131,74.9869,,,0.47,36.1358,54.9347,8.3551,0.1044,,,1.3577,7.3107,22.8721,39.4256,29.0339,,0.5222,30.3916,61.671,5.3786,2.0366,,12.2193,14.2559,73.5248,,15.3003,21.7755,62.9243,,1.7232,32.846,51.5405,12.7937,1.0966,,,17.4413,46.5274,35.1436,0.8877,,2.0888,39.0078,46.7885,11.6971,0.4178,,0.2089,2.9243,24.0209,70.0783,2.7676,,0.3655,39.6345,34.9347,24.0209,1.0444,,11.5927,54.1514,34.2559,,5.0131,46.4752,48.5117,,32.4804,67.5196,,30.376,12.03,18.4856,20.953,25.3706,43.8941,,,43511.7682,10,10
