Unnamed: 0,Año,Estado,Municipio,municipio,GINI,decil_1,decil_2,decil_3,decil_4,decil_5,decil_6,decil_7,decil_8,decil_9,decil_10,p1_Respuesta_1,p1_Respuesta_2,p1_Respuesta_3,p1_Respuesta_4,p1_Respuesta_5,p1_Respuesta_6,p10_Respuesta_1,p10_Respuesta_2,p10_Respuesta_3,p10_Respuesta_4,p11_Respuesta_1,p11_Respuesta_2,p11_Respuesta_3,p11_Respuesta_4,p11_Respuesta_5,p11_Respuesta_6,p12_Respuesta_1,p12_Respuesta_2,p12_Respuesta_3,p12_Respuesta_4,p12_Respuesta_5,p12_Respuesta_6,p12_Respuesta_7,p13_Respuesta_1,p13_Respuesta_2,p13_Respuesta_3,p13_Respuesta_4,p13_Respuesta_5,p13_Respuesta_6,p14_Respuesta_1,p14_Respuesta_2,p14_Respuesta_3,p14_Respuesta_4,p15_Respuesta_1,p15_Respuesta_2,p15_Respuesta_3,p15_Respuesta_4,p2_Respuesta_1,p2_Respuesta_2,p2_Respuesta_3,p2_Respuesta_4,p2_Respuesta_5,p2_Respuesta_6,p3_Respuesta_1,p3_Respuesta_2,p3_Respuesta_3,p3_Respuesta_4,p3_Respuesta_5,p3_Respuesta_6,p4_Respuesta_1,p4_Respuesta_2,p4_Respuesta_3,p4_Respuesta_4,p4_Respuesta_5,p4_Respuesta_6,p5_Respuesta_1,p5_Respuesta_2,p5_Respuesta_3,p5_Respuesta_4,p5_Respuesta_5,p5_Respuesta_6,p6_Respuesta_1,p6_Respuesta_2,p6_Respuesta_3,p6_Respuesta_4,p6_Respuesta_5,p6_Respuesta_6,p7_Respuesta_1,p7_Respuesta_2,p7_Respuesta_3,p7_Respuesta_4,p8_Respuesta_1,p8_Respuesta_2,p8_Respuesta_3,p8_Respuesta_4,p9_Respuesta_1,p9_Respuesta_2,p9_Respuesta_3,Percepcion_Economica_Personal_Positiva,Percepcion_Economica_Personal_Negativa,Percepcion_Naciona_Positiva,Percepcion_Nacional_Negativa,Consumo_Ahorro_Positivo,Consumo_Ahorro_Negativo,Incertidumbre_Economica_Personal,Incertidumbre_Economica_Nacional,Ingreso promedio total,Region,Cluster,estado_numero,estado_codigo,cvegeo
0.0,2018,Aguascalientes,Aguascalientes,1,0.3872,13886.9362,23649.5944,30669.5955,37208.5848,44942.1409,52600.1041,62296.8539,76179.9565,99767.7771,190080.6512,0.6132,12.5472,54.5755,31.6509,0.6132,,15.3302,84.1509,0.5189,,,26.3208,35.4245,37.9245,0.3302,,,0.2358,1.2264,17.0755,2.8774,78.5849,,1.0849,29.5283,39.7642,25.9434,3.6792,,3.3491,2.5943,94.0566,,6.6038,5.8962,87.5,,0.2358,41.1792,38.1132,20.3774,0.0943,,0.3774,16.0377,64.3396,19.1509,0.0943,,,46.4623,34.5755,18.7736,0.1887,,,1.4151,12.1226,79.7642,6.6981,,0.2358,16.8868,28.9623,46.9811,6.934,,9.3868,28.9623,61.6509,,,8.3962,91.6038,,8.8679,91.1321,,28.0961,11.3679,13.1462,23.7441,13.7393,65.8356,0.5189,0.0,63128.2195,Centro,3.0,1,1,01001
1.0,2018,Aguascalientes,Jesús María,5,0.3851,13869.7769,23571.7964,29459.7328,35763.7773,43516.358,51750.9483,61844.524,73797.8584,97029.8456,182909.6602,,6.7227,67.2269,26.0504,,,3.3613,96.6387,,,,31.9328,42.0168,26.0504,,,,,,47.0588,,52.9412,,,45.3782,35.2941,15.1261,4.2017,,,3.3613,96.6387,,10.084,20.1681,69.7479,,,75.6303,17.6471,6.7227,,,,3.3613,78.9916,17.6471,,,,71.4286,16.8067,11.7647,,,,,35.2941,56.3025,8.4034,,,35.2941,23.5294,27.7311,13.4454,,10.084,33.6134,52.9412,3.3613,,,100.0,,,100.0,,42.2269,15.5462,34.958,24.6098,19.3277,78.7115,3.3613,0.0,61351.4278,Centro,3.0,1,1,01005
2.0,2018,Baja california,Tijuana,4,0.3775,14772.7254,23679.2969,30567.2893,37169.5102,43662.4886,51089.5086,62347.3495,79404.9346,104128.5056,175415.9902,2.5776,22.7885,50.7323,22.4956,1.406,,42.5893,55.7704,,1.6403,2.2261,26.0105,60.5155,8.1429,0.1172,2.9877,0.5272,5.331,19.1564,31.8102,10.7791,31.4001,0.9959,3.2806,36.0281,38.3714,11.365,5.2724,5.6825,14.9385,8.9631,75.9813,0.1172,25.8934,12.1265,61.6286,0.3515,3.5735,42.7065,35.618,11.8336,1.1131,5.1552,1.6989,26.9479,50.4979,18.3363,2.1675,0.3515,4.9209,44.4054,34.2121,12.1265,0.1172,4.2179,0.2929,3.1634,35.5009,51.3181,8.553,1.1716,1.4646,40.1289,25.952,20.1523,5.5067,6.7955,19.918,40.8905,39.1916,,10.5448,47.8032,41.1834,0.4687,38.8401,59.1095,2.0504,26.7233,8.6995,17.4331,18.0946,27.02,31.2764,1.9625,3.6614,62223.7599,Noroeste,3.0,2,2,02004
3.0,2018,Baja california sur,La Paz,3,0.4413,14935.2662,25727.7197,32942.9448,40897.0919,50144.895,59753.3286,72259.8448,88984.4741,111877.9274,288563.2628,0.784,9.9786,64.077,23.5923,1.5681,,33.1433,66.5004,0.3564,,0.3564,28.5816,67.6408,3.2787,,0.1426,0.4989,7.1989,10.1212,30.7199,26.087,25.0891,0.2851,0.784,23.7349,55.4526,16.6073,3.2074,0.2138,8.0542,18.3892,73.5567,,6.5574,24.8753,68.5674,,1.0691,30.0071,37.206,26.7997,4.2053,0.7128,0.0713,3.0649,77.4768,17.9615,1.4255,,0.7128,27.3699,40.7698,29.0805,1.9957,0.0713,0.2851,4.918,37.6336,48.6101,8.3393,0.2138,,22.3093,32.7869,27.1561,16.9636,0.784,14.3264,59.7292,25.9444,,3.35,44.191,52.459,,17.6764,82.1098,0.2138,24.3823,13.3286,17.793,22.2113,25.1439,50.6415,0.2994,0.3742,78608.6755,Noroeste,3.0,3,3,03003
4.0,2018,Campeche,Campeche,2,0.387,12093.9665,19510.0931,25212.5675,30483.8218,36421.3479,43038.7807,52924.4656,66201.7075,84378.4624,155497.0548,0.1273,11.7123,59.0707,26.6709,2.4188,,26.0344,73.8383,,0.1273,0.3183,24.9523,59.6435,13.049,1.9096,0.1273,,5.0923,15.7861,47.613,7.8294,23.5519,0.1273,0.5729,21.7696,33.9274,37.9376,5.0923,0.7002,1.2731,4.0738,94.3985,0.2546,8.7206,17.4411,73.8383,,2.9917,31.4449,46.1489,16.6136,2.6098,0.191,0.4456,18.4596,65.7543,14.7677,0.5729,,3.119,22.8517,65.1814,7.0019,0.8275,1.0185,0.8912,5.2196,26.7346,61.6805,5.4742,,1.9096,33.5455,25.6525,31.1267,6.2381,1.5277,10.1209,26.0344,63.8447,,2.1006,7.9567,89.9427,,21.4513,78.0395,0.5092,27.2756,8.9354,15.5547,25.374,16.1631,51.8937,0.4201,0.7851,52576.2268,Sureste,3.0,4,4,04002
5.0,2018,Chiapas,Chiapa de Corzo,27,0.3846,7968.62,13206.3089,19770.5237,25914.8099,30302.8107,33924.29,38712.5194,40483.4697,54861.3333,133478.965,1.0676,28.1139,33.0961,37.7224,,,33.0961,66.9039,,,,50.5338,40.9253,8.5409,,,,15.3025,37.7224,10.6762,13.879,20.9964,1.4235,12.4555,26.6904,30.605,13.879,16.3701,,15.3025,5.694,79.0036,,21.7082,8.8968,69.395,,7.4733,52.669,25.6228,14.2349,,,1.7794,31.3167,32.7402,34.1637,,,5.694,43.4164,37.0107,13.879,,,,6.4057,25.9786,65.8363,1.7794,,4.9822,58.7189,18.8612,17.4377,,,19.2171,58.363,22.4199,,10.3203,55.8719,33.8078,,26.3345,72.242,1.4235,25.0,25.0,23.7722,19.9797,28.8553,47.153,1.4235,1.4235,39862.3651,Sureste,4.0,5,7,07027
6.0,2018,Chiapas,Tuxtla Gutiérrez,101,0.3857,10349.9711,18831.7864,23494.5567,26942.5089,32495.7097,38651.972,49018.8097,58669.9609,76888.3623,140525.2898,2.045,11.7928,36.5372,48.3981,1.227,,34.6285,65.0307,,0.3408,0.6135,28.289,43.013,27.062,0.818,0.2045,0.4772,5.5896,16.3599,16.7689,20.8589,39.9455,,2.3858,19.2229,40.4226,11.0429,26.7894,0.1363,7.0893,2.045,90.8657,,13.0879,6.4076,80.5044,,3.681,29.7887,34.5603,30.6748,1.2952,,2.3177,14.0423,43.2856,39.8091,0.5453,,2.7948,27.6755,39.8773,29.107,0.5453,,0.2727,2.863,16.8371,71.7791,8.2481,,2.2495,27.4029,31.7655,34.4922,3.4083,0.6817,13.4288,42.3995,44.1718,,4.09,44.7853,51.1247,,34.2195,65.2352,0.5453,20.6998,18.9502,13.8207,24.1735,21.0844,43.0811,0.3749,0.409,47586.8928,Sureste,3.0,5,7,07101
7.0,2018,Chihuahua,Chihuahua,19,0.4043,13451.2939,22635.3566,28789.5516,34488.0393,41487.9026,49659.2258,58180.5985,72030.1858,96356.617,198097.7792,3.7263,25.6775,47.8997,19.7154,2.981,,39.7696,60.2304,,,4.9458,40.0407,35.4336,13.4824,4.336,1.7615,0.3388,6.9783,11.7209,41.7344,10.9756,27.2358,1.0163,7.0461,30.6233,41.0569,11.9919,5.8266,3.4553,29.4715,,70.5285,,33.4011,,66.2602,0.3388,10.1626,40.9892,28.794,13.4146,5.0136,1.626,3.3875,29.607,48.5772,14.2954,3.9973,0.1355,10.5691,44.9187,27.8455,11.1789,3.8618,1.626,0.813,7.4526,40.3117,39.2954,11.7886,0.3388,5.4201,33.6043,26.6938,22.4932,8.5366,3.252,32.5881,20.664,46.748,,18.2249,36.9919,44.7832,,44.9864,53.4553,1.5583,26.8462,9.3072,17.6716,19.0803,30.5925,36.7378,1.1743,2.0156,61517.655,Norte,3.0,6,8,08019
8.0,2018,Coahuila de zaragoza,Ramos Arizpe,27,0.415,14053.3372,25915.4793,32478.4829,39696.7321,50078.2936,56316.2822,64634.4607,79658.1911,112852.6783,234633.5474,,24.1135,58.156,17.7305,,,49.6454,50.3546,,,,33.3333,38.2979,24.8227,3.5461,,,4.2553,16.3121,22.695,9.2199,47.5177,,2.8369,30.4965,64.539,2.1277,,,8.5106,24.1135,67.3759,,22.695,9.9291,67.3759,,2.8369,39.0071,32.6241,21.9858,3.5461,,,34.0426,50.3546,15.6028,,,4.2553,40.4255,34.0426,17.7305,3.5461,,,5.6738,41.844,51.0638,1.4184,,,35.461,33.3333,16.3121,14.8936,,22.695,41.844,35.461,,26.9504,29.078,43.9716,,51.0638,48.9362,,31.9858,13.357,26.0835,16.8186,29.8463,39.2097,0.0,0.0,71031.7485,Norte,3.0,7,5,05027
9.0,2018,Coahuila de zaragoza,Saltillo,30,0.3871,15784.1177,26629.1201,34605.5479,41642.7724,50518.4257,59228.799,71348.9593,86477.4285,113571.6596,213352.1381,3.8164,30.8406,48.5817,15.6266,1.1346,,55.802,43.1666,,1.0315,7.0139,35.3275,41.2584,14.6467,1.4956,0.2579,1.2893,3.8164,26.9211,33.8319,14.3889,19.7524,,14.0278,26.3022,51.4183,5.673,2.5786,,26.7148,17.8958,55.3894,,31.9237,15.8329,52.2434,,12.3259,37.2873,34.6055,13.5637,2.2176,,4.6931,34.8633,46.8798,12.8417,0.722,,14.0794,35.6369,36.6168,12.687,0.8252,0.1547,,12.8932,50.0774,33.6772,3.3522,,3.7133,29.2935,37.4936,21.6606,7.5297,0.3094,26.5085,45.2295,28.262,,22.3827,46.7251,30.8922,,43.5276,56.4724,,28.3522,7.4523,23.386,15.3365,32.0109,28.9195,0.2063,0.3094,71315.8968,Norte,3.0,7,5,05030
